select sum(cnt) as sum, inclass from (
    select name, pat, cnt, string_agg(word, '|' order by seq) as words,
           string_agg(inclass, '|' order by seq) as inclass
        from ( select l_stname_c as name, count(*) as cnt
                from rawdata.roadseg
                where l_stname_c not in ('None','Unknown')
                    and coalesce(nullif(nullif(l_hnumf, 0), -1),
                    nullif(nullif(l_hnuml, 0), -1),
                    nullif(nullif(r_hnumf, 0), -1),
                    nullif(nullif(r_hnuml, 0), -1)) is not null
                group by name
       ) as a,
       as_config as cfg,
       LATERAL as_parse( name, clexicon, 'fr_CA', 'SPACE,STOPWORD,DASH,PUNCT')
as std
    where cfg.id=26
    group by name, pat, cnt) as foo
group by inclass
order by sum desc;

Successfully run. Total query runtime: 21 min 33 secs. 921 rows affected.


"89"    "WORD,TYPE|WORD,TYPE|WORD,SINGLE|WORD"
"89"    "WORD,SINGLE|WORD|WORD,SINGLE|WORD,TYPE"
"87"    "WORD,TYPE|WORD,TYPE|WORD,TYPE|DIRECT|WORD,DIRECT"
"87"    "WORD,TYPE|NUMBER|WORD,TYPE|WORD,TYPE"
"86"    "MIXED,PCT|WORD,TYPE|WORD,TYPE|WORD"
"86"    "WORD,TYPE|NUMBER|WORD,SINGLE|WORD,DOUBLE|NUMBER|WORD,SINGLE|WORD"
"83"    "NUMBER|WORD,SINGLE|WORD,TYPE|WORD,DIRECT|WORD,DIRECT"
"83"    "WORD|WORD|WORD,TYPE|NUMBER"
"82"    "WORD,TYPE|WORD,TYPE|DIRECT|WORD,DIRECT"
"81"    "WORD,TYPE|WORD,TYPE|WORD|WORD,TYPE"
"81"    "WORD,TYPE|WORD|WORD,SINGLE|WORD,DOUBLE"
"79"    "WORD,TYPE|WORD|WORD|WORD|WORD"
"78"    "WORD|WORD,DOUBLE|WORD,TYPE"
"76"    "WORD,DOUBLE|WORD|WORD,TYPE|DIRECT"
"76"    "WORD,DIRECT|WORD,TYPE|WORD,DIRECT"
"75"    "WORD,TYPE|WORD|WORD|WORD,SINGLE|WORD"
"73"    "WORD|WORD,TYPE|DIRECT|WORD,TYPE"
"72"    "DIRECT|WORD,TYPE|WORD,DIRECT"
"69"    "WORD,TYPE|WORD,TYPE|WORD,DIRECT|WORD,DIRECT"
"69"    "NUMBER|WORD,TYPE|WORD|WORD,TYPE|DIRECT|WORD,DIRECT"
"68"    "MIXED,PCH"
"68"    "WORD|WORD,SINGLE|NUMBER"
"68"    "WORD,TYPE|WORD|WORD,SINGLE|WORD|DIRECT"
"65"    "WORD|WORD,TYPE|WORD,SINGLE"
"64"    "WORD,TYPE|WORD,TYPE|WORD|DIRECT"
"63"    "WORD|NUMBER|WORD,TYPE|DIRECT"
"63"    "WORD,PROV|WORD,TYPE|WORD,DIRECT"
"61"    "WORD,DIRECT|WORD,TYPE|WORD,TYPE|WORD,TYPE"
"61"    "DIRECT|MIXED|WORD,TYPE"
"60"    "WORD,TYPE|WORD,TYPE|WORD,TYPE|DIRECT|DIRECT"
"59"    "WORD,TYPE|WORD,DOUBLE|WORD"
"59"    "DIRECT|WORD,TYPE|WORD,TYPE|WORD,DIRECT"
"58"    "WORD,DIRECT|WORD,TYPE|DIRECT"
"58"    "NUMBER,QUAD|WORD,TYPE|DIRECT"
"57"    "WORD,SINGLE|NUMBER|WORD,TYPE"
"57"    "WORD|WORD,TYPE|WORD|WORD"
"57"    "WORD|WORD|WORD"
"56"    "WORD,TYPE|WORD,TYPE|NUMBER|DIRECT"
"56"    "WORD,TYPE|WORD|NUMBER"
"55"    "WORD,TYPE|DIRECT|WORD,TYPE"
"55"    "WORD|MIXED,PCT|WORD,TYPE|WORD,SINGLE"
"55"    "WORD,TYPE|WORD|WORD,TYPE|WORD,DIRECT|DIRECT"
"55"    "NUMBER|WORD|WORD|WORD,TYPE|DIRECT|DIRECT"
"54"    "WORD|MIXED|WORD,TYPE"
"53"    "WORD|DIRECT|WORD,TYPE|WORD,TYPE"
"52"    "WORD|WORD,DIRECT"
"50"    "DIRECT|MIXED,PCT|WORD,TYPE"
"49"    "WORD|WORD|WORD,DIRECT|WORD,TYPE"
"49"    "WORD,TYPE|NUMBER|WORD,DIRECT|WORD"
"48"    "WORD|WORD|DIRECT|WORD,TYPE"
"48"    "WORD,TYPE|WORD,SINGLE|WORD|WORD,TYPE"
"48"    "WORD|WORD|WORD,SINGLE|WORD,TYPE"
"47"    "WORD,DIRECT|WORD,TYPE|DIRECT|WORD,TYPE|WORD,TYPE"
"47"    "NUMBER|WORD,SINGLE|WORD,TYPE|WORD|WORD,DIRECT"
"47"    "NUMBER|WORD,DIRECT|WORD,TYPE|WORD,DIRECT"
"47"    "WORD,DIRECT|WORD,TYPE|WORD,TYPE|WORD,DIRECT"
"46"    "WORD,TYPE|NUMBER|DIRECT|WORD"
"45"    "WORD,TYPE|WORD|WORD,DOUBLE|WORD,DIRECT"
"45"    "WORD|WORD,DIRECT|WORD|WORD,TYPE|WORD,TYPE"
"45"    "WORD,DIRECT|DIRECT|WORD,TYPE|WORD,TYPE"
"45"    "WORD,TYPE|WORD,SINGLE|WORD|WORD,DIRECT"
"44"    "WORD,TYPE|WORD,DOUBLE|WORD|WORD,TYPE"
"44"    "MIXED,PCT|WORD,TYPE|WORD,SINGLE"
"44"    "NUMBER|WORD,TYPE|WORD,TYPE|WORD,TYPE|WORD,DIRECT|DIRECT"
"44"    "DIRECT|WORD,TYPE|WORD,TYPE|WORD,DIRECT|DIRECT"
"43"    "WORD|WORD,DIRECT|WORD|WORD,TYPE"
"42"    "WORD,SINGLE|AMPERS|WORD,SINGLE|WORD,TYPE"
"42"    "MIXED,PCT|WORD,TYPE|WORD,SINGLE|DIRECT"
"42"    "WORD|WORD,SINGLE|WORD,TYPE|DIRECT"
"41"    "DIRECT|WORD,TYPE|WORD,DIRECT|WORD,TYPE|WORD,TYPE"
"41"    "NUMBER,QUAD|WORD,TYPE|WORD,DIRECT"
"41"    "WORD|WORD,DOUBLE|WORD,TYPE|WORD,TYPE"
"41"    "WORD,TYPE|WORD,TYPE|WORD,SINGLE"
"40"    "MIXED,PCT|WORD,TYPE|WORD,SINGLE|WORD,DIRECT"
"40"    "WORD|AMPERS|WORD|WORD,TYPE"
"40"    "WORD,DIRECT|WORD,TYPE|WORD,DIRECT|WORD,TYPE|WORD,TYPE"
"40"    "WORD,TYPE|WORD,DIRECT|WORD"
"39"    "MIXED,PCT|WORD|WORD,TYPE"
"38"    "MIXED|WORD,TYPE|WORD"
"38"    "NUMBER|WORD,SINGLE|WORD,TYPE|WORD,SINGLE"
"38"    "WORD|WORD,TYPE|WORD,TYPE|NUMBER|WORD,SINGLE"
"38"    "NUMBER|WORD,SINGLE|WORD,DOUBLE|NUMBER|WORD,SINGLE|WORD,TYPE|WORD"
"37"    "DIRECT|WORD,TYPE|WORD|WORD,TYPE|WORD,TYPE"
"36"    "WORD,TYPE|WORD,DIRECT|WORD,TYPE"
"36"    "DIRECT|WORD|WORD,TYPE|DIRECT"
"36"    "NUMBER|WORD,DIRECT|WORD,TYPE|DIRECT"
"36"    "NUMBER|WORD,SINGLE|WORD,TYPE|WORD|DIRECT"
"36"    "WORD,TYPE|WORD|WORD,SINGLE|WORD|WORD"
"35"    "WORD,DIRECT|WORD,TYPE|WORD,TYPE|WORD,DIRECT|WORD,DIRECT"
"34"    "NUMBER|WORD|WORD,TYPE|WORD,TYPE|WORD,DIRECT|WORD,DIRECT"
"34"    "DIRECT|WORD,TYPE|WORD,TYPE|DIRECT|DIRECT"
"34"    "NUMBER,QUINT|DIRECT|WORD|WORD,TYPE|WORD,TYPE"
"34"    "WORD,TYPE|NUMBER|WORD,SINGLE|WORD,TYPE|DIRECT"
"34"    "WORD|WORD|WORD|WORD|WORD,TYPE"
"33"    "WORD|DIRECT|WORD|WORD,TYPE|WORD,TYPE"
"33"    "NUMBER|WORD|WORD|WORD,TYPE|WORD,DIRECT|DIRECT"
"32"    "WORD|WORD,TYPE|DIRECT|DIRECT|DIRECT"
"32"    "WORD,TYPE|NUMBER|WORD,SINGLE|WORD"
"32"    "NUMBER|WORD|WORD|WORD,TYPE|WORD,DIRECT|WORD,DIRECT"
"31"    "WORD|WORD,TYPE|WORD,DIRECT|WORD,TYPE|WORD,TYPE"
"31"    "WORD|WORD|MIXED,PCT|WORD,TYPE"
"31"    "NUMBER|NUMBER|WORD,TYPE"
"31"    "NUMBER|DIRECT|WORD,TYPE|WORD,DIRECT"
"30"    "NUMBER,QUAD|NUMBER|WORD,TYPE|WORD,DIRECT|DIRECT"
"30"    "NUMBER|WORD,SINGLE|WORD,TYPE|WORD|WORD|WORD,DIRECT"
"30"    "NUMBER|DIRECT|WORD,TYPE|DIRECT"
"28"    "WORD,TYPE|WORD,TYPE|WORD|WORD|DIRECT"
"28"    "WORD,TYPE|DIRECT|WORD"
"28"    "WORD,TYPE|WORD,TYPE|WORD,QUALIF"
"28"    "WORD,PROV|WORD,TYPE|WORD,DIRECT|DIRECT"
"27"    "WORD,DIRECT|WORD,TYPE|WORD,TYPE|DIRECT"
"27"    "WORD|WORD|DIRECT"
"27"    "NUMBER,QUAD|WORD,TYPE|NUMBER|WORD,SINGLE"
"27"    "WORD|WORD,PROV|WORD,TYPE"
"27"    "WORD,TYPE|WORD,DOUBLE|WORD,TYPE"
"27"    "NUMBER,QUINT|WORD|WORD,TYPE|WORD,TYPE"
"27"    "DIRECT|WORD|WORD,TYPE|DIRECT|WORD,DIRECT"
"27"    "DIRECT|WORD,TYPE|WORD,TYPE|DIRECT"
"26"    "WORD,TYPE|WORD|WORD|WORD,SINGLE"
"26"
"WORD,TYPE|NUMBER|WORD,SINGLE|WORD,DOUBLE|NUMBER|WORD,SINGLE|WORD,TYPE"
"26"    "WORD|WORD|WORD|WORD,TYPE|WORD,TYPE"
"25"    "WORD,DIRECT|NUMBER|WORD,TYPE"
"25"    "WORD,DOUBLE|WORD,TYPE"
"25"    "WORD,TYPE|WORD|WORD,TYPE|NUMBER"
"25"    "WORD|WORD|WORD|WORD"
"24"    "WORD|WORD,SINGLE|WORD,TYPE|WORD,TYPE|WORD,DIRECT|WORD,DIRECT"
"24"    "WORD,DIRECT|WORD|WORD,TYPE|NUMBER"
"24"    "WORD,DOUBLE|WORD|WORD|WORD,TYPE"
"24"    "WORD,TYPE|WORD,TYPE|WORD,TYPE|WORD,TYPE"
"24"    "WORD|WORD,TYPE|NUMBER,QUAD|WORD,SINGLE"
"24"    "NUMBER,QUAD|WORD|WORD,TYPE|NUMBER|WORD,SINGLE"
"24"    "NUMBER,QUAD|NUMBER|WORD,TYPE|WORD,DOUBLE"
"24"    "WORD,TYPE|NUMBER,QUAD|WORD,SINGLE"
"23"    "WORD,TYPE|WORD,SINGLE|WORD|DIRECT"
"23"    "WORD|AMPERS|WORD|WORD,TYPE|WORD,TYPE"
"23"    "WORD,TYPE|NUMBER|WORD,SINGLE|WORD,TYPE|WORD,DIRECT"
"23"    "WORD,TYPE|NUMBER|WORD,DIRECT|WORD|WORD"
"23"    "WORD,SINGLE|WORD|WORD,TYPE|WORD,TYPE"
