                                             placename                                             |  cnt  
 Stuartburn                                                                                        |    49
 Stuie                                                                                             |    10
 Stukely-Sud                                                                                       |    51
 Sturgeon                                                                                          |    12
 Sturgeon County                                                                                   |   341
 Sturgeon Falls 23                                                                                 |     1
 Sturgeon Lake #154                                                                                |    10
 Sturgeon Lake #154A                                                                               |     4
 Stymiest                                                                                          |     2
 Sucker Creek #150A                                                                                |     7
 Sucker Creek 23                                                                                   |     8
 Suffield                                                                                          |    14
 Suffolk                                                                                           |     5
 Sugar Camp                                                                                        |     4
 Sugar Loaf                                                                                        |     6
 Sugarloaf Provincial Park                                                                         |    13
 Sukunka Valley                                                                                    |     7
 Summerfield                                                                                       |    17
 Summerford                                                                                        |    18
 Summerland                                                                                        |   374
 Summerside                                                                                        |   285
 Summerville                                                                                       |    60
 Summerville Centre                                                                                |     8
 Summit Lake                                                                                       |    26
 Sun Peaks                                                                                         |    33
 Sunbreaker Cove                                                                                   |    17
 Sunchild #202                                                                                     |     1
 Sundance Beach                                                                                    |     6
 Sundance Lakes                                                                                    |     3
 Sundre                                                                                            |    69
 Sundridge                                                                                         |     4
 Sunken Lake                                                                                       |    17
 Sunny Brae                                                                                        |    13
 Sunny Corner                                                                                      |    13
 Sunnybrook                                                                                        |    11
 Sunnynook                                                                                         |     4
 Sunnyside                                                                                         |    15
 Sunnyside Beach                                                                                   |     6
 Sunnyslope                                                                                        |     2
 Sunnyville                                                                                        |    11
 Sunrise                                                                                           |     4
 Sunrise Beach                                                                                     |    10
 Sunrise Valley                                                                                    |     7
 Sunset Beach                                                                                      |     5
 Sunset Point                                                                                      |     9
 Sunset Prairie                                                                                    |    13
 Sunshine Valley                                                                                   |    21
 Surettes Island                                                                                   |    12
 Surrey                                                                                            |  1216
 Suskwa                                                                                            |     3
 Sussex                                                                                            |   111
 Sussex Corner                                                                                     |    49
 Sussex East                                                                                       |     3
 Sussex South                                                                                      |     1
 Sutherland Lake                                                                                   |    18
 Sutherlands River                                                                                 |    23
 Sutton                                                                                            |   197
 Swalwell                                                                                          |    10
 Swampy Lake #236                                                                                  |     1
 Swan Creek                                                                                        |     4
 Swan Hills                                                                                        |    42
 Swan Lake 65C                                                                                     |     1
 Swan Lake 7                                                                                       |     6
 Swan River                                                                                        |   134
 Swan River #150E                                                                                  |    11
 Sweetland                                                                                         |     5
 Sweets Corner                                                                                     |     6
 Swift River                                                                                       |     7
 Sydney                                                                                            |   398
 Sydney Forks                                                                                      |    21
 Sydney Mines                                                                                      |   144
 Sydney River                                                                                      |    85
 Sylvan Lake                                                                                       |   197
 Sylvan Valley                                                                                     |    15
 Sylvester                                                                                         |    11
 Sypher Cove                                                                                       |     5
 Ta Ta Creek                                                                                       |    18
 Taber                                                                                             |    98
 Taber, M.D. of                                                                                    |   208
 Tabusintac                                                                                        |    25
 Tabusintac Indian Reserve                                                                         |     1
 Taché                                                                                            |   135
 Tachie                                                                                            |    21
 Tadoussac                                                                                         |    43
 Taghum                                                                                            |    24
 Tagish                                                                                            |    35
 Tahsis                                                                                            |    38
 Tahsish River                                                                                     |     1
 Takla Landing                                                                                     |    16
 Taku                                                                                              |     1
 Takysie Lake                                                                                      |     8
 Tallcree #173                                                                                     |     1
 Tallcree #173A                                                                                    |     2
 Taloyoak                                                                                          |     1
 Tangent                                                                                           |     7
 Tangier                                                                                           |    11
 Tanners Settlement                                                                                |     2
 Tantallon                                                                                         |    40
 Tappen                                                                                            |    73
 Tarantum                                                                                          |     7
 Tarbot                                                                                            |     5
 Tarbotvale                                                                                        |     4
 Targettville                                                                                      |     9
 Tarrys                                                                                            |     6
 Taschereau                                                                                        |    43
 Tatalrose                                                                                         |    12
 Tatamagouche                                                                                      |    25
 Tatamagouche Mountain                                                                             |     8
 Tatla Lake                                                                                        |    26
 Tatlayoko Lake                                                                                    |    11
 Tatshenshini                                                                                      |     9
 Tawatinaw                                                                                         |     4
 Taxis River                                                                                       |     7
 Tay Creek                                                                                         |     2
 Tay Falls                                                                                         |     3
 Taylor                                                                                            |    41
 Taylor Village                                                                                    |     3
 Taylors Road                                                                                      |     2
 Taymouth                                                                                          |    12
 Tchesinkut Lake                                                                                   |    18
 Teeds Mills                                                                                       |     2
 Teepee Creek                                                                                      |     1
 Tees                                                                                              |     8
 Telegraph Cove                                                                                    |    15
 Telegraph Creek                                                                                   |    12
 Telford                                                                                           |     8
 Telkwa                                                                                            |   131
 Témiscaming                                                                                      |    74
 Témiscouata-sur-le-Lac                                                                           |   145
 Temperance Vale                                                                                   |     9
 Temple                                                                                            |     2
 Tenmile House                                                                                     |    11
 Tennecape                                                                                         |    13
 Terence Bay                                                                                       |    26
 Terra Nova                                                                                        |     8
 Terrace                                                                                           |   303
 Terrasse-Vaudreuil                                                                                |    27
 Terre Noire                                                                                       |     1
 Terrebonne                                                                                        |  1241
 Terrenceville                                                                                     |     8
 Teslin                                                                                            |    16
 Teslin Post 13                                                                                    |     5
 Tetagouche Falls                                                                                  |     3
 Tete Jaune                                                                                        |    31
 Tetsa River                                                                                       |     9
 Teulon                                                                                            |    36
 Texada Island                                                                                     |    14
 Thabacha Nare #196A                                                                               |     1
 The Bathi #196                                                                                    |     1
 The Corporation Of The Municipality Of East Ferris                                                |   101
 The Dalles 38c                                                                                    |     1
 The Falls                                                                                         |    11
 The Glades                                                                                        |     4
 The Halfway                                                                                       |     2
 The Hawk                                                                                          |     6
 The Lodge                                                                                         |     5
 The Medway                                                                                        |     1
 The Narrows 49                                                                                    |     3
 The Pas                                                                                           |    95
 The Points West Bay                                                                               |     9
 Therien                                                                                           |     6
 Thessalon 12                                                                                      |     2
 Thetford Mines                                                                                    |   448
 Thetis Island                                                                                     |    44
 Third Lake                                                                                        |     5
 Thomas Brook                                                                                      |     2
 Thomasville                                                                                       |     4
 Thompson                                                                                          |   147
 Thomson Station                                                                                   |    16
 Thorburn                                                                                          |    22
 Thorhild                                                                                          |    19
 Thorhild No. 7, County of                                                                         |    91
 Thorne                                                                                            |    71
 Thornhill                                                                                         |    99
 Thorsby                                                                                           |    26
 Three Brooks                                                                                      |    16
 Three Fathom Harbour                                                                              |    11
 Three Hills                                                                                       |    54
 Three Mile Plains                                                                                 |    24
 Three Tree Creek                                                                                  |     6
 Three Valley                                                                                      |    13
 Thrums                                                                                            |    10
 Thunder Lake                                                                                      |     9
 Thurso                                                                                            |    56
 Tickle Road                                                                                       |     3
 Tiddville                                                                                         |     3
 Tide Head                                                                                         |    29
 Tidnish Bridge                                                                                    |    31
 Tidnish Cross Roads                                                                               |    39
 Tignish                                                                                           |    28
 Tignish Shore                                                                                     |     5
 Tilley                                                                                            |    35
 Tilley Road                                                                                       |    10
 Tillicum Beach                                                                                    |     5
 Tilt Cove                                                                                         |     1
 Tilting                                                                                           |     2
 Timber River                                                                                      |     5
 Timberlea                                                                                         |   105
 Timiskaming                                                                                       |    14
 Tingwick                                                                                          |    54
 Tinker                                                                                            |     2
 Tintagel                                                                                          |    28
 Titusville                                                                                        |    10
 Tiverton                                                                                          |    16
 Tlell                                                                                             |    13
 TNO aquatique de la MRC de Bonaventure                                                            |     1
 TNO aquatique de la MRC de L'Île-d'Orléans                                                      |     2
 TNO aquatique de la MRC de La Côte-de-Beaupré                                                   |     1
 TNO aquatique de la MRC de Minganie                                                               |     3
 TNO aquatique de la MRC du Rocher-Percé                                                          |     1
 TNO aquatique de la MRC du Val-Saint-François                                                    |     1
 TNO aquatique de la MRC Le Golfe-du-Saint-Laurent                                                 |     2
 Toad River                                                                                        |    15
 Tobique First Nation                                                                              |    35
 Tobique Narrows                                                                                   |     4
 Tofield                                                                                           |    39
 Tofino                                                                                            |    85
 Togo                                                                                              |     1
 Tomahawk                                                                                          |     7
 Toms Savannah                                                                                     |     2
 Tomslake                                                                                          |    45
 Toney River                                                                                       |    38
 Topley                                                                                            |    47
 Topley Landing                                                                                    |    15
 Tor Bay                                                                                           |     6
 Torbay                                                                                            |   190
 Torbrook                                                                                          |     9
 Torbrook Mines                                                                                    |     6
 Torbrook West                                                                                     |     4
 Toronto                                                                                           |     4
 Torrington                                                                                        |    10
 Tourville                                                                                         |    24
 Tower Hill                                                                                        |    17
 Tower Road                                                                                        |    14
 Town Of Ajax                                                                                      |   898
 Town Of Amherstburg                                                                               |   252
 Town Of Arnprior                                                                                  |   156
 Town Of Aurora                                                                                    |   507
 Town Of Aylmer                                                                                    |    94
 Town Of Bancroft                                                                                  |   130
 Town Of Blind River                                                                               |   121
 Town Of Bracebridge                                                                               |   471
 Town Of Bradford West Gwillimbury                                                                 |   295
 Town Of Bruce Mines                                                                               |    26
 Town Of Caledon                                                                                   |   724
 Town Of Carleton Place                                                                            |   168
 Town Of Cobalt                                                                                    |    44
 Town Of Cobourg                                                                                   |   251
 Town Of Cochrane                                                                                  |   140
 Town Of Collingwood                                                                               |   317
 Town Of Deep River                                                                                |    92
 Town Of Deseronto                                                                                 |    26
 Town Of East Gwillimbury                                                                          |   260
 Town Of Englehart                                                                                 |    27
 Town Of Erin                                                                                      |   129
 Town Of Espanola                                                                                  |    92
 Town Of Essex                                                                                     |   360
 Town Of Fort Erie                                                                                 |   588
 Town Of Fort Frances                                                                              |   110
 Town Of Gananoque                                                                                 |    87
 Town Of Georgina                                                                                  |   608
 Town Of Goderich                                                                                  |   136
 Town Of Gore Bay                                                                                  |    36
 Town Of Grand Valley                                                                              |    56
 Town Of Gravenhurst                                                                               |   526
 Town Of Greater Napanee                                                                           |   299
 Town Of Grimsby                                                                                   |   336
 Town Of Halton Hills                                                                              |   547
 Town Of Hanover                                                                                   |    67
 Town Of Hawkesbury                                                                                |   116
 Town Of Hearst                                                                                    |    92
 Town Of Huntsville                                                                                |   615
 Town Of Ingersoll                                                                                 |   178
 Town Of Innisfil                                                                                  |   571
 Town Of Iroquois Falls                                                                            |   142
 Town Of Kapuskasing                                                                               |   135
 Town Of Kearney                                                                                   |    71
 Town Of Kingsville                                                                                |   308
 Town Of Kirkland Lake                                                                             |   145
 Town Of Lakeshore                                                                                 |   430
 Town Of Lasalle                                                                                   |   272
 Town Of Latchford                                                                                 |    23
 Town Of Laurentian Hills                                                                          |   167
 Town Of Lincoln                                                                                   |   395
 Town Of Marathon                                                                                  |    63
 Town Of Mattawa                                                                                   |    50
 Town Of Midland                                                                                   |   226
 Town Of Milton                                                                                    |   794
 Town Of Minto                                                                                     |   165
 Town Of Mono                                                                                      |    82
 Town Of Moosonee                                                                                  |    47
 Town Of New Tecumseth                                                                             |   346
 Town Of Newmarket                                                                                 |   649
 Town Of Niagara-On-The-Lake                                                                       |   356
 Town Of Northeastern Manitoulin And The Islands                                                   |   108
 Town Of Oakville                                                                                  |  1592
 Town Of Orangeville                                                                               |   245
 Town Of Parry Sound                                                                               |   130
 Town Of Pelham                                                                                    |   207
 Town Of Penetanguishene                                                                           |   148
 Town Of Perth                                                                                     |   113
 Town Of Petawawa                                                                                  |   291
 Town Of Petrolia                                                                                  |   107
 Town Of Plympton-Wyoming                                                                          |   160
 Town Of Prescott                                                                                  |    77
 Town Of Rainy River                                                                               |    22
 Town Of Renfrew                                                                                   |   161
 Town Of Richmond Hill                                                                             |  1285
 Town Of Saugeen Shores                                                                            |   297
 Town Of Shelburne                                                                                 |    92
 Town Of Smiths Falls                                                                              |   174
 Town Of Smooth Rock Falls                                                                         |    37
 Town Of South Bruce Peninsula                                                                     |   431
 Town Of Spanish                                                                                   |    39
 Town Of St. Marys                                                                                 |   101
 Town Of Tecumseh                                                                                  |   283
 Town Of The Blue Mountains                                                                        |   303
 Town Of Thessalon                                                                                 |    45
 Town Of Tillsonburg                                                                               |   280
 Town Of Wasaga Beach                                                                              |   503
 Town Of Whitby                                                                                    |  1075
 Town Of Whitchurch-Stouffville                                                                    |   539
 Township Of Addington Highlands                                                                   |   126
 Township Of Adelaide-Metcalfe                                                                     |    79
 Township Of Adjala-Tosorontio                                                                     |   127
 Township Of Admaston/bromley                                                                      |   150
 Township Of Alberton                                                                              |    20
 Township Of Alfred And Plantagenet                                                                |   188
 Township Of Algonquin Highlands                                                                   |   377
 Township Of Alnwick/haldimand                                                                     |   270
 Township Of Amaranth                                                                              |    56
 Township Of Armour                                                                                |    83
 Township Of Armstrong                                                                             |    29
 Township Of Ashfield-Colborne-Wawanosh                                                            |   233
 Township Of Asphodel-Norwood                                                                      |    89
 Township Of Assiginack                                                                            |    80
 Township Of Athens                                                                                |    91
 Township Of Atikokan                                                                              |    89
 Township Of Augusta                                                                               |   133
 Township Of Baldwin                                                                               |    24
 Township Of Beckwith                                                                              |   196
 Township Of Billings                                                                              |    72
 Township Of Black River-Matheson                                                                  |   142
 Township Of Blandford-Blenheim                                                                    |   155
 Township Of Bonfield                                                                              |    85
 Township Of Bonnechere Valley                                                                     |   228
 Township Of Brethour                                                                              |     8
 Township Of Brock                                                                                 |   217
 Township Of Brudenell, Lyndoch And Raglan                                                         |   143
 Township Of Burpee And Mills                                                                      |    18
 Township Of Calvin                                                                                |    32
 Township Of Carling                                                                               |   130
 Township Of Carlow/mayo                                                                           |    90
 Township Of Casey                                                                                 |    24
 Township Of Cavan Monaghan                                                                        |   195
 Township Of Central Frontenac                                                                     |   374
 Township Of Central Manitoulin                                                                    |   127
 Township Of Centre Wellington                                                                     |   335
 Township Of Chamberlain                                                                           |    13
 Township Of Champlain                                                                             |   193
 Township Of Chapleau                                                                              |    57
 Township Of Chapple                                                                               |    34
 Township Of Chatsworth                                                                            |   147
 Township Of Chisholm                                                                              |    31
 Township Of Clearview                                                                             |   271
 Township Of Coleman                                                                               |    54
 Township Of Conmee                                                                                |    26
 Township Of Cramahe                                                                               |   164
 Township Of Dawn-Euphemia                                                                         |    73
 Township Of Dawson                                                                                |    49
 Township Of Dorion                                                                                |    33
 Township Of Douro-Dummer                                                                          |   186
 Township Of Drummond/north Elmsley                                                                |   322
 Township Of Dubreuilville                                                                         |    48
 Township Of Ear Falls                                                                             |    59
 Township Of East Garafraxa                                                                        |    44
 Township Of East Hawkesbury                                                                       |    79
 Township Of East Zorra-Tavistock                                                                  |   104
 Township Of Edwardsburgh/cardinal                                                                 |   200
 Township Of Elizabethtown-Kitley                                                                  |   260
 Township Of Emo                                                                                   |    31
 Township Of Enniskillen                                                                           |    42
 Township Of Essa                                                                                  |   217
 Township Of Evanturel                                                                             |    21
 Township Of Faraday                                                                               |   112
 Township Of Fauquier-Strickland                                                                   |    42
 Township Of Front Of Yonge                                                                        |    73
 Township Of Frontenac Islands                                                                     |   144
 Township Of Gauthier                                                                              |     7
 Township Of Georgian Bay                                                                          |   278
 Township Of Georgian Bluffs                                                                       |   237
 Township Of Gillies                                                                               |    25
 Township Of Greater Madawaska                                                                     |   296
 Township Of Guelph/eramosa                                                                        |   196
 Township Of Hamilton                                                                              |   290
 Township Of Harley                                                                                |    19
 Township Of Harris                                                                                |    19
 Township Of Havelock-Belmont-Methuen                                                              |   336
 Township Of Head, Clara And Maria                                                                 |    78
 Township Of Hilliard                                                                              |    14
 Township Of Hilton                                                                                |    33
 Township Of Hornepayne                                                                            |    36
 Township Of Horton                                                                                |   140
 Township Of Howick                                                                                |   101
 Township Of Hudson                                                                                |    14
 Township Of Huron-Kinloss                                                                         |   237
 Township Of Ignace                                                                                |    49
 Township Of James                                                                                 |    27
 Township Of Jocelyn                                                                               |    28
 Township Of Johnson                                                                               |    48
 Township Of Joly                                                                                  |    21
 Township Of Kerns                                                                                 |    10
 Township Of Killaloe, Hagarty And Richards                                                        |   148
 Township Of King                                                                                  |   348
 Township Of La Vallee                                                                             |    30
 Township Of Laird                                                                                 |    36
 Township Of Lake Of Bays                                                                          |   325
 Township Of Lake Of The Woods                                                                     |    34
 Township Of Lanark Highlands                                                                      |   336
 Township Of Larder Lake                                                                           |    30
 Township Of Laurentian Valley                                                                     |   222
